Date,Actual_Demand,Forecast_Demand,Resource_Allocation
2024-02-05,176.05633325534592,190.25120141827605,HIGH (Scale up resources)
2024-02-06,184.66581459211207,187.36752608244,HIGH (Scale up resources)
2024-02-07,190.10434545798947,189.25722049574074,HIGH (Scale up resources)
2024-02-08,190.99158721877387,190.40173177509982,HIGH (Scale up resources)
2024-02-09,187.51969656325798,190.16369999862638,HIGH (Scale up resources)
2024-02-10,196.55811728880315,191.09273678287843,HIGH (Scale up resources)
2024-02-11,183.43968380915433,189.90663768122704,HIGH (Scale up resources)
2024-02-12,191.19690988151544,189.75441827051014,HIGH (Scale up resources)
2024-02-13,193.60344117293914,190.1004234239855,HIGH (Scale up resources)
2024-02-14,197.01153762342167,190.1060360284858,HIGH (Scale up resources)
2024-02-15,198.79383184135824,190.1914629046133,HIGH (Scale up resources)
2024-02-16,184.25883717975327,190.22071752396982,HIGH (Scale up resources)
2024-02-17,181.0886621121292,190.0608216266774,HIGH (Scale up resources)
2024-02-18,203.63962143509798,190.0834875921035,HIGH (Scale up resources)
2024-02-19,196.08499239948955,190.11813430417885,HIGH (Scale up resources)
2024-02-20,187.3992371147928,190.11578497010626,HIGH (Scale up resources)
2024-02-21,205.7102230863941,190.13512308814882,HIGH (Scale up resources)
2024-02-22,194.09448148706545,190.12555342597167,HIGH (Scale up resources)
2024-02-23,202.4268236926476,190.10854112845675,HIGH (Scale up resources)
2024-02-24,193.31243819043502,190.1155946610252,HIGH (Scale up resources)
2024-02-25,208.99590701138845,190.11762213393982,HIGH (Scale up resources)
2024-02-26,206.24948555010909,190.1184465856452,HIGH (Scale up resources)
2024-02-27,189.87259789988283,190.1208025770541,HIGH (Scale up resources)
2024-02-28,199.25676178598292,190.11809650386792,HIGH (Scale up resources)
2024-02-29,196.23112394471787,190.11685496532692,HIGH (Scale up resources)
2024-03-01,201.56692856673007,190.1179247669244,HIGH (Scale up resources)
2024-03-02,182.41597000944626,190.11794055653104,HIGH (Scale up resources)
2024-03-03,195.11093803354157,190.11827499375858,HIGH (Scale up resources)
2024-03-04,197.5488192927863,190.11840482997957,HIGH (Scale up resources)
2024-03-05,174.4442451968887,190.11795877952588,HIGH (Scale up resources)
2024-03-06,178.45684923099242,190.11794171029374,HIGH (Scale up resources)
2024-03-07,170.99607279751814,190.11805358076313,HIGH (Scale up resources)
2024-03-08,184.52223772909716,190.11805082494035,HIGH (Scale up resources)
2024-03-09,191.7682834000259,190.11811601894823,HIGH (Scale up resources)
2024-03-10,197.3825298852715,190.1180977622668,HIGH (Scale up resources)
2024-03-11,185.27985634648437,190.11804333989693,HIGH (Scale up resources)
2024-03-12,197.0295958516807,190.11805590230261,HIGH (Scale up resources)
2024-03-13,172.2660589060841,190.11806386795683,HIGH (Scale up resources)
2024-03-14,168.9811312995526,190.11806664384838,HIGH (Scale up resources)
2024-03-15,181.4627583243775,190.11807510311655,HIGH (Scale up resources)
2024-03-16,184.27875511784703,190.11806822738427,HIGH (Scale up resources)
2024-03-17,180.24642095541867,190.11806334005533,HIGH (Scale up resources)
2024-03-18,163.2753519854278,190.11806584788673,HIGH (Scale up resources)
2024-03-19,178.41649442048734,190.11806616219877,HIGH (Scale up resources)
2024-03-20,168.01839524915687,190.1180671886967,HIGH (Scale up resources)
2024-03-21,183.14880776399457,190.1180678473568,HIGH (Scale up resources)
2024-03-22,180.07648653504995,190.11806658195258,HIGH (Scale up resources)
2024-03-23,168.99431237531894,190.11806633434472,HIGH (Scale up resources)
2024-03-24,171.7917785601918,190.1180666337659,HIGH (Scale up resources)
2024-03-25,166.84036884634074,190.11806665068647,HIGH (Scale up resources)
2024-03-26,174.2482388029528,190.11806685683544,HIGH (Scale up resources)
2024-03-27,181.852806880537,190.1180668436511,HIGH (Scale up resources)
2024-03-28,165.81636333912417,190.11806667352872,HIGH (Scale up resources)
2024-03-29,177.25558682971138,190.11806668649896,HIGH (Scale up resources)
2024-03-30,168.53469266212562,190.11806671097486,HIGH (Scale up resources)
2024-03-31,166.0216805189709,190.1180667208449,HIGH (Scale up resources)
2024-04-01,171.1324890331192,190.118066749763,HIGH (Scale up resources)
2024-04-02,163.368718998486,190.11806673407543,HIGH (Scale up resources)
2024-04-03,166.92284848906831,190.11806671651632,HIGH (Scale up resources)
2024-04-04,161.51136856928872,190.11806672159577,HIGH (Scale up resources)
2024-04-05,186.59690591294085,190.1180667229128,HIGH (Scale up resources)
2024-04-06,170.98958539017653,190.11806672608708,HIGH (Scale up resources)
2024-04-07,164.98288908171793,190.11806672884947,HIGH (Scale up resources)
2024-04-08,172.21166517416785,190.11806672545114,HIGH (Scale up resources)
2024-04-09,169.56720810182904,190.11806672416589,HIGH (Scale up resources)
2024-04-10,168.71179584941208,190.11806672488157,HIGH (Scale up resources)
2024-04-11,175.45503985708234,190.11806672497457,HIGH (Scale up resources)
2024-04-12,176.7129533983526,190.11806672562247,HIGH (Scale up resources)
2024-04-13,166.56957518828045,190.11806672571407,HIGH (Scale up resources)
2024-04-14,166.41758938637227,190.1180667252081,HIGH (Scale up resources)
2024-04-15,169.08435694944322,190.11806672517218,HIGH (Scale up resources)
2024-04-16,153.180220991509,190.11806672523704,HIGH (Scale up resources)
2024-04-17,159.83504051857375,190.11806672526873,HIGH (Scale up resources)
2024-04-18,183.30254926886275,190.11806672536542,HIGH (Scale up resources)
2024-04-19,185.9880133453402,190.11806672533544,HIGH (Scale up resources)
2024-04-20,171.34602841360476,190.11806672527698,HIGH (Scale up resources)
2024-04-21,178.50962051141872,190.11806672528394,HIGH (Scale up resources)
2024-04-22,176.99416903257907,190.11806672528786,HIGH (Scale up resources)
2024-04-23,199.78960324862453,190.1180667252974,HIGH (Scale up resources)
2024-04-24,184.8160432204595,190.118066725308,HIGH (Scale up resources)
2024-04-25,175.58248398876222,190.11806672529949,HIGH (Scale up resources)
2024-04-26,169.75225694490157,190.11806672529426,HIGH (Scale up resources)
2024-04-27,165.3789105688759,190.11806672529565,HIGH (Scale up resources)
2024-04-28,180.73389747352715,190.11806672529593,HIGH (Scale up resources)
2024-04-29,173.97145304281375,190.11806672529792,HIGH (Scale up resources)
2024-04-30,169.59911878601093,190.1180667252986,HIGH (Scale up resources)
2024-05-01,176.79663174604585,190.11806672529718,HIGH (Scale up resources)
2024-05-02,174.34433881241978,190.11806672529687,HIGH (Scale up resources)
2024-05-03,197.55498143104765,190.118066725297,HIGH (Scale up resources)
2024-05-04,192.20380086334947,190.1180667252971,HIGH (Scale up resources)
2024-05-05,186.20945696926614,190.1180667252974,HIGH (Scale up resources)
2024-05-06,199.26300463974036,190.11806672529738,HIGH (Scale up resources)
2024-05-07,189.2181374491801,190.1180667252972,HIGH (Scale up resources)
2024-05-08,182.90798670338813,190.1180667252972,HIGH (Scale up resources)
2024-05-09,203.2033974144814,190.1180667252972,HIGH (Scale up resources)
2024-05-10,196.56859718585255,190.11806672529724,HIGH (Scale up resources)
2024-05-11,185.21467250372058,190.11806672529727,HIGH (Scale up resources)
2024-05-12,193.2592741935299,190.11806672529724,HIGH (Scale up resources)
2024-05-13,189.057965389223,190.1180667252972,HIGH (Scale up resources)
2024-05-14,186.29056715032985,190.1180667252972,HIGH (Scale up resources)
